;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184
2020-10-06;0;12;0;12;6;8;0;0;6;6;6;0;0;0;0;;0;;0;18;12;12;0;12;0;0;0;6;0;0;12;;;;;6;0;;0;12;0;0;0;0;0;0;0;;0;0;;0;6;0;0;;;;;;;;;0;;;0;0;4;32;0;0;0;0;0;0;0;0;0;0;0;0;18;18;;;0;9;9;2;0;0;0;30;20;0;0;78;70;24;10;30;0;0;0;6;0;36;54;60;72;52;0;12;0;0;12;6;6;180;0;6;12;4;0;0;0;16;0;20;0;0;0;0;0;0;13;11;80;64;2;30;4;18;30;24;12;12;18;0;0;12;62;52;180;12;;24;36;4;4;36;0;6;0;12;0;4;0;8;28;0;0;0;0;0;;16;;0;304;8;32;224;36
2020-10-07;6;48;84;66;36;72;42;18;18;84;0;36;48;36;36;;12;;12;120;54;30;84;144;0;48;54;30;8;24;36;;;;;42;84;;18;162;24;18;6;0;12;24;0;;48;6;;0;12;128;24;;;;;;;;;0;;;72;16;2;0;12;46;0;12;0;0;18;24;4;8;10;42;6;6;;;30;18;18;6;6;0;14;30;30;0;12;174;90;48;12;48;6;12;0;6;0;54;144;126;90;116;8;12;0;6;18;36;24;300;6;18;4;4;0;24;4;0;12;20;28;134;46;74;60;8;114;8;132;96;2;36;2;12;30;16;48;36;42;22;0;8;130;92;120;12;;72;42;16;4;48;6;18;36;16;0;28;4;8;16;8;20;8;0;0;;40;;20;224;8;40;216;48
2020-10-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;24;18;;;0;27;9;0;0;0;0;30;30;0;36;192;90;42;16;30;12;6;0;0;0;30;66;102;96;80;0;16;8;0;24;0;0;240;0;18;8;4;0;0;0;0;0;30;0;0;0;0;0;0;31;42;120;96;0;36;0;18;30;16;42;30;60;0;0;0;148;94;264;0;;36;36;8;8;72;0;6;0;0;0;4;0;4;0;0;0;0;8;8;;48;;0;408;0;48;296;54
2020-10-09;0;30;48;12;24;56;12;0;0;60;0;30;18;24;48;;24;;6;84;24;12;102;102;0;60;42;42;4;16;36;;;;;24;36;;0;174;0;18;6;6;0;12;0;;0;0;;0;0;112;32;;;;;;;;;0;;;152;16;4;0;42;68;6;0;0;0;0;24;6;10;6;34;18;12;;;18;9;9;12;16;6;0;20;40;0;12;102;100;36;4;26;0;6;0;0;24;30;114;96;108;68;16;28;8;0;6;30;0;210;0;24;20;6;0;8;2;0;0;20;40;88;50;60;60;0;100;18;110;64;10;30;6;72;36;40;18;36;72;10;0;28;86;94;132;6;;42;36;20;0;54;0;0;32;24;0;20;24;4;52;24;20;4;0;0;;32;;40;200;0;40;256;54
2020-10-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;;;0;9;0;0;0;0;0;40;0;0;18;60;50;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;180;0;0;12;0;0;0;0;8;0;20;0;0;0;0;0;0;59;86;64;56;0;0;0;0;0;16;0;0;0;0;0;8;72;40;108;0;;24;36;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;32;;0;128;0;16;144;24
2020-10-12;0;30;72;42;24;64;30;6;6;90;0;6;12;0;30;;6;;0;72;42;36;66;102;4;42;24;30;0;4;48;;;;;36;54;;12;162;16;36;24;0;6;24;0;;32;0;;0;18;72;0;;;;;;;;;0;;;120;24;0;0;12;44;0;0;0;0;0;0;12;8;14;36;42;42;;;18;18;9;14;2;0;0;10;210;6;30;66;60;48;38;52;6;0;0;18;0;42;132;222;132;60;8;8;4;18;18;42;42;90;0;24;48;20;18;8;2;0;12;20;32;80;48;84;0;0;93;20;114;64;6;48;6;48;30;16;78;48;90;16;0;24;102;90;168;24;;30;36;4;4;72;0;36;48;36;0;36;12;4;92;16;40;24;6;6;;32;;0;184;8;32;144;42
2020-10-13;6;6;6;6;0;8;6;0;0;0;6;0;0;0;0;;0;;0;18;12;12;0;6;4;0;0;0;0;0;6;;;;;6;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;;;;;;;;0;;;0;0;0;20;0;0;0;18;0;0;0;0;0;0;2;0;24;24;;;0;9;0;0;0;0;0;20;190;0;12;138;96;42;0;24;0;0;6;0;6;24;60;42;60;52;0;16;4;0;36;0;6;168;0;18;20;10;0;0;0;8;0;26;0;0;0;0;48;6;7;25;80;48;0;12;2;12;18;8;12;18;30;0;0;32;80;76;132;6;;36;24;8;8;30;0;0;12;4;0;8;0;8;36;4;0;0;2;4;;32;;44;216;8;40;160;36
2020-10-14;6;42;54;36;6;48;30;6;12;66;0;18;12;12;36;;6;;12;78;66;30;84;96;8;48;36;30;8;20;30;;;;;24;72;;6;192;8;18;12;6;12;24;0;;40;0;;0;0;112;32;;;;;;;;;0;;;80;24;0;0;30;38;0;0;0;0;0;0;8;12;14;40;24;18;;;24;27;9;14;10;0;10;30;220;0;30;210;110;36;12;36;6;12;0;12;0;36;108;162;102;96;16;4;0;6;18;48;30;246;0;0;12;0;12;0;6;0;6;20;28;130;60;78;0;0;90;11;156;104;4;36;4;18;30;32;24;36;60;10;0;4;160;80;174;6;;36;36;4;8;48;0;6;24;20;0;24;20;4;40;16;24;12;0;0;;48;;0;256;0;32;280;54
2020-10-15;0;6;6;6;6;8;6;6;6;6;0;0;0;0;0;;0;;0;6;6;6;0;6;0;6;6;6;0;0;6;;;;;6;6;;0;6;8;0;0;0;6;0;0;;0;0;;0;6;0;0;;;;;;;;;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;;;0;18;45;0;0;0;0;40;340;0;12;150;140;36;14;50;6;12;0;0;0;42;96;78;84;120;0;12;4;0;6;0;6;222;6;24;40;20;0;0;0;0;0;30;0;0;0;0;0;4;18;14;112;88;0;48;4;24;30;32;48;30;30;0;0;0;118;88;264;12;;36;36;4;4;60;0;0;8;8;0;8;0;4;52;4;0;4;0;0;;48;;0;368;0;64;280;60
2020-10-16;0;36;36;24;18;64;18;0;0;48;0;12;6;6;30;;12;;0;36;30;42;12;84;4;30;12;6;12;4;12;;;;;18;24;;0;156;0;18;6;0;0;18;0;;8;0;;0;0;128;32;;;;;;;;;0;;;128;8;4;0;24;44;12;12;0;0;6;24;8;10;14;44;36;24;;;24;18;18;18;16;6;0;30;220;0;18;66;90;42;4;28;0;0;0;0;0;36;120;114;96;60;16;8;0;0;12;30;6;240;6;36;32;20;24;16;4;0;6;10;16;74;40;40;60;12;126;93;136;80;6;24;2;42;36;16;48;24;72;10;0;24;94;96;108;0;;48;48;8;8;66;6;0;32;24;0;20;16;4;56;20;8;12;2;6;;32;;20;176;0;48;224;72
